Date,Price
2021-12-17,46009.7836
2021-12-18,46995.5819
2021-12-19,47024.5436
2021-12-20,46883.7404
2021-12-21,49105.252
2021-12-22,48904.4099
2021-12-23,50834.6267
2021-12-24,50850.5327
2021-12-25,50724.3176
2021-12-26,51136.2128
2021-12-27,50978.0504
2021-12-28,47499.1639
2021-12-29,47426.6259
2021-12-30,46894.8451
2021-12-31,46315.8215
2022-01-01,47471.441
2022-01-02,47372.7701
2022-01-03,46247.1071
2022-01-04,46232.3068
2022-01-05,43454.4692
2022-01-06,43144.0089
2022-01-07,41622.4043
2022-01-08,42211.4585
2022-01-09,42397.6195
2022-01-10,41716.8753
2022-01-11,42694.4484
2022-01-12,43935.0723
2022-01-13,42579.4785
2022-01-14,43291.2722
2022-01-15,43223.665
2022-01-16,43198.2274
2022-01-17,42293.9682
2022-01-18,42566.3152
2022-01-19,41983.101
2022-01-20,41208.0744
2022-01-21,36484.1358
2022-01-22,34959.3815
2022-01-23,35386.3769
2022-01-24,36440.1237
2022-01-25,36669.2301
2022-01-26,36480.9077
2022-01-27,36685.9026
2022-01-28,37905.7369
2022-01-29,38168.1823
2022-01-30,37680.239
2022-01-31,38564.1887
2022-02-01,38665.2179
2022-02-02,37216.137
2022-02-03,36889.0007
2022-02-04,40580.0143
2022-02-05,41662.7022
2022-02-06,41738.4867
2022-02-07,44124.5082
2022-02-08,44050.4273
2022-02-09,44573.151
2022-02-10,44029.768
2022-02-11,42328.8194
2022-02-12,41997.0316
2022-02-13,42369.1031
2022-02-14,42692.2164
2022-02-15,44241.742
2022-02-16,44140.2293
2022-02-17,40612.224
2022-02-18,39963.6247
2022-02-19,40001.9532
2022-02-20,38627.528
2022-02-21,37437.4609
2022-02-22,38273.9669
2022-02-23,37613.8369
2022-02-24,37900.0908
2022-02-25,39131.976
2022-02-26,39162.1274
2022-02-27,37829.4694
2022-02-28,43732.0804
2022-03-01,44138.8475
2022-03-02,44124.9217
2022-03-03,42597.9564
2022-03-04,38829.635
2022-03-05,39383.8121
2022-03-06,39077.9088
2022-03-07,38358.8996
2022-03-08,38534.6984
2022-03-09,41847.194
2022-03-10,39402.3259
2022-03-11,38943.4005
2022-03-12,39144.0398
2022-03-13,37774.1106
2022-03-14,39127.0865
2022-03-15,39477.5878
2022-03-16,40939.5997
2022-03-17,40919.2551
2022-03-18,41711.7964
2022-03-19,41780.6973
2022-03-20,41205.3573
2022-03-21,41188.03
2022-03-22,42507.659
2022-03-23,42525.6294
2022-03-24,44046.1555
2022-03-25,44377.8424
2022-03-26,44450.0871
2022-03-27,46753.1817
2022-03-28,47722.3275
2022-03-29,47284.0772
2022-03-30,47001.0142
2022-03-31,45729.4685
2022-04-01,46216.445
2022-04-02,46089.4722
2022-04-03,46393.6608
2022-04-04,46600.4252
2022-04-05,45786.7354
2022-04-06,43612.8691
2022-04-07,43536.6305
2022-04-08,42157.4931
2022-04-09,42564.3463
2022-04-10,42346.2345
2022-04-11,39964.8688
2022-04-12,39643.599
2022-04-13,41161.4953
2022-04-14,39895.3524
2022-04-15,40443.293
2022-04-16,40502.0544
2022-04-17,40146.2939
2022-04-18,40788.0272
2022-04-19,41448.5379
2022-04-20,41565.9942
2022-04-21,40493.6906
2022-04-22,39683.6122
2022-04-23,39899.3414
2022-04-24,39620.7263
2022-04-25,40331.277
2022-04-26,38301.7037
2022-04-27,39077.3846
2022-04-28,39678.5854
2022-04-29,38557.1893
2022-04-30,38380.673
2022-05-01,38210.6675
2022-05-02,38590.2299
2022-05-03,37787.5445
2022-05-04,39721.6084
2022-05-05,36377.8127
2022-05-06,35976.0274
2022-05-07,35175.7645
2022-05-08,34196.503
2022-05-09,31224.2304
2022-05-10,30437.696
2022-05-11,28575.4754
2022-05-12,28633.0754
2022-05-13,29829.042
2022-05-14,29652.7524
2022-05-15,31151.6208
2022-05-16,30082.6258
2022-05-17,30272.1219
2022-05-18,28948.0191
2022-05-19,30117.9793
2022-05-20,29229.4538
2022-05-21,29348.1843
2022-05-22,30304.3275
2022-05-23,29118.5027
2022-05-24,29533.0705
2022-05-25,29776.9014
2022-05-26,29511.5462
2022-05-27,28855.4747
2022-05-28,28988.9464
2022-05-29,29446.2658
2022-05-30,31707.3663
2022-05-31,31821.074
2022-06-01,29721.7779
2022-06-02,30571.7211
2022-06-03,29733.7293
2022-06-04,29780.0311
2022-06-05,29931.4905
2022-06-06,31411.2485
2022-06-07,31159.0337
2022-06-08,30328.2653
2022-06-09,30036.34
2022-06-10,29139.092
2022-06-11,28635.118
2022-06-12,27077.4867
2022-06-13,22795.9336
2022-06-14,21568.1649
2022-06-15,22465.251
2022-06-16,20513.8733
2022-06-17,20409.4514
2022-06-18,19206.5091
2022-06-19,20599.2587
2022-06-20,20438.3897
2022-06-21,20832.9353
2022-06-22,20018.2594
2022-06-23,21069.9235
2022-06-24,21320.3099
2022-06-25,21443.5686
2022-06-26,20993.0853
2022-06-27,20825.6288
2022-06-28,20249.8972
2022-06-29,20161.5486
2022-06-30,18901.7184
2022-07-01,19399.2355
2022-07-02,19289.8906
2022-07-03,19283.7028
2022-07-04,19531.8511
2022-07-05,20155.9977
2022-07-06,20501.5164
2022-07-07,21584.9956
2022-07-08,21866.2611
2022-07-09,21678.9724
2022-07-10,20809.5822
2022-07-11,20003.5875
2022-07-12,19414.0383
2022-07-13,19834.9215
2022-07-14,20565.2104
2022-07-15,20874.2416
2022-07-16,21234.2144
2022-07-17,21004.7325
2022-07-18,21700.4426
2022-07-19,23314.2993
2022-07-20,23423.3988
2022-07-21,22997.1365
2022-07-22,22708.8576
2022-07-23,22464.2448
2022-07-24,22982.574
2022-07-25,21577.3511
2022-07-26,21112.7349
2022-07-27,22853.0268
2022-07-28,23963.7224
2022-07-29,23925.051
2022-07-30,23611.2064
2022-07-31,23271.3389
2022-08-01,23081.9839
2022-08-02,23114.7251
2022-08-03,22996.7305
2022-08-04,22611.1867
2022-08-05,23250.9959
2022-08-06,23178.4577
2022-08-07,23239.702
2022-08-08,23772.4687
2022-08-09,23189.8988
2022-08-10,23874.291
2022-08-11,23934.6701
2022-08-12,24228.0414
2022-08-13,24441.729
2022-08-14,24334.851
2022-08-15,24070.2777
2022-08-16,23857.3495
2022-08-17,23351.8989
2022-08-18,23373.1663
2022-08-19,21004.4753
2022-08-20,21121.388
2022-08-21,21594.8352
2022-08-22,21296.682
2022-08-23,21521.1001
2022-08-24,21520.4246
2022-08-25,21609.8711
2022-08-26,20233.9582
2022-08-27,20058.2388
2022-08-28,19934.6002
2022-08-29,20312.6067
2022-08-30,19845.3676
2022-08-31,20092.2673
2022-09-01,20099.0858
2022-09-02,19913.4718
2022-09-03,19804.7215
2022-09-04,19870.6223
2022-09-05,19822.9625
2022-09-06,18905.5781
2022-09-07,19335.1151
2022-09-08,19300.7869
2022-09-09,21360.0214
2022-09-10,21839.1299
2022-09-11,21755.9294
